"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"1","cambodia","1971","navy",NA,"patrol and coastal combatants",NA,"Torpedo Boat",NA,NA,"2"
"2","cambodia","1971","navy",NA,"patrol and coastal combatants",NA,"Patrol Boat",NA,NA,"6"
"3","cambodia","1971","navy",NA,"patrol and coastal combatants",NA,"Patrol Vessel",NA,NA,"2"
"4","cambodia","1971","air force",NA,"helicopters",NA,"ATK",NA,"Mi-4","1"
"5","denmark","1970","navy",NA,"mine warfare","mine layers","ML",NA,NA,"4"
"6","denmark","1970","navy",NA,"mine warfare","mine layers","ML",NA,NA,"4"
"7","thailand","1970","navy",NA,"patrol and coastal combatants",NA,"PC",NA,"gunboats","2"
"8","thailand","1970","navy",NA,"patrol and coastal combatants",NA,"PC",NA,"gunboats","2"
"9","sweden","1971","navy",NA,"patrol and coastal combatants",NA,"MTB",NA,NA,"17"
"10","sweden","1971","navy",NA,"patrol and coastal combatants",NA,"MTB",NA,NA,"17"
"11","cambodia","1971","navy",NA,"patrol and coastal combatants",NA,"Torpedo Boat",NA,NA,"2"
"12","cambodia","1971","navy",NA,"patrol and coastal combatants",NA,"Patrol Boat",NA,NA,"6"
"13","cambodia","1971","navy",NA,"patrol and coastal combatants",NA,"Patrol Vessel",NA,NA,"2"
"14","cambodia","1971","air force",NA,"helicopters",NA,"ATK",NA,"Mi-4","1"
"15","colombia","1973","air force",NA,"aircraft",NA,"TRG",NA,"T-41D","30"
"16","colombia","1973","air force",NA,"aircraft",NA,"TRG",NA,"T-41D","30"
"17","bulgaria","1977","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","10"
"18","bulgaria","1977","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","10"
"19","chile","1977","air force",NA,"aircraft",NA,"TPT",NA,"DHC-6","11"
"20","chile","1977","air force",NA,"aircraft",NA,"TPT",NA,"DHC-6","11"
"21","chile","1978","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"22","chile","1978","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"23","czechoslovakia","1978","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","240"
"24","czechoslovakia","1978","air force",NA,"aircraft",NA,"FTR",NA,"MiG-21","240"
"25","greece","1978","air force",NA,"aircraft",NA,"TRG",NA,"F-5B","8"
"26","greece","1978","air force",NA,"aircraft",NA,"TRG",NA,"F-5B","8"
"27","chile","1979","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"28","chile","1979","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"29","chile","1980","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"30","chile","1980","navy","naval aviation","helicopters",NA,"TPT",NA,"UH-1D","2"
"31","bahrain","1981","paramilitary","police","helicopters",NA,"ATK",NA,"Scout AH-1","2"
"32","bahrain","1981","paramilitary","police","helicopters",NA,"ATK",NA,"Scout AH-1","2"
"33","cote d'ivoire","1981","navy",NA,"patrol and coastal combatants","inshore","PCI",NA,NA,"4"
"34","cote d'ivoire","1981","navy",NA,"patrol and coastal combatants","inshore","PCI",NA,NA,"4"
"35","peru","1981","air force",NA,"aircraft",NA,"TPT",NA,"F-28","1"
"36","peru","1981","air force",NA,"aircraft",NA,"TPT",NA,"F-28","1"
"37","south africa","1981","air force",NA,"helicopters",NA,"UTL",NA,"Alouette III","30"
"38","south africa","1981","air force",NA,"helicopters",NA,"UTL",NA,"Alouette III","30"
"39","cote d'ivoire","1982","navy",NA,"patrol and coastal combatants","inshore","PCI",NA,NA,"4"
"40","cote d'ivoire","1982","navy",NA,"patrol and coastal combatants","inshore","PCI",NA,NA,"4"
"41","taiwan","1982","navy",NA,"patrol and coastal combatants",NA,"FAC(T)",NA,"Japanese-built","2"
"42","us","1982","stratcom","air force","aircraft",NA,"FTR",NA,"F-15","18"
"43","us","1982","stratcom","air force","aircraft",NA,"FTR",NA,"F-15","18"
"44","france","1983","navy",NA,"logistics and support",NA,"TKR",NA,NA,"6"
"45","france","1983","navy",NA,"logistics and support",NA,"TKR",NA,NA,"6"
"46","Somalia","1983","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"47","Somalia","1983","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"48","taiwan","1982","navy",NA,"patrol and coastal combatants",NA,"FAC(T)",NA,"Japanese-built","2"
"49","denmark","1984","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"50","denmark","1984","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"51","german democratic republic","1984","navy",NA,"logistics and support",NA,"SPT",NA,NA,"4"
"52","german democratic republic","1984","navy",NA,"logistics and support",NA,"SPT",NA,NA,"4"
"53","korea, dpr of","1984","navy",NA,"amphibious","landing ships","LCU",NA,NA,"9"
"54","korea, dpr of","1984","navy",NA,"amphibious","landing ships","LCU",NA,NA,"9"
"55","mexico","1984","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"56","mexico","1984","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"57","Somalia","1984","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"58","Somalia","1984","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"59","france","1985","navy",NA,"logistics and support",NA,"TKR",NA,NA,"6"
"60","france","1985","navy",NA,"logistics and support",NA,"TKR",NA,NA,"6"
"61","italy","1985","air force",NA,"aircraft",NA,"TRG",NA,"MB-326","15"
"62","italy","1985","air force",NA,"aircraft",NA,"TRG",NA,"MB-326","15"
"63","mexico","1985","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"64","mexico","1985","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","1"
"65","Somalia","1985","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"66","Somalia","1985","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"67","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Br Ton","3"
"68","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Ton","3"
"69","france","1986","navy",NA,"logistics and support",NA,"TKR",NA,NA,"6"
"70","france","1986","navy",NA,"logistics and support",NA,"TKR",NA,NA,"6"
"71","german democratic republic","1986","navy",NA,"logistics and support",NA,"SPT",NA,NA,"4"
"72","german democratic republic","1986","navy",NA,"logistics and support",NA,"SPT",NA,NA,"4"
"73","taiwan","1986","army",NA,"artillery",NA,"TOWED","75mm","M-116 pack","350"
"74","denmark","1986","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"75","denmark","1986","air force","tactical air command","aircraft",NA,"RECCE",NA,"RF-35XD","16"
"76","Somalia","1986","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"77","Somalia","1986","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"78","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Br Ton","3"
"79","south africa","1986","navy",NA,"mine warfare",NA,"MCMV",NA,"Ton","3"
"80","united kingdom","1986","navy",NA,"logistics and support",NA,"tankers",NA,NA,"5"
"81","united kingdom","1986","navy",NA,"logistics and support",NA,"tankers",NA,NA,"5"
"82","us","1986","stratcom","strategic defenses - air defence","aircraft",NA,"FTR",NA,"F-15","18"
"83","us","1986","stratcom","strategic defenses - air defence","aircraft",NA,"FTR",NA,"F-15","18"
"84","taiwan","1986","army",NA,"artillery",NA,"TOWED","75mm","M-116 pack","350"
"85","Somalia","1987","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"86","Somalia","1987","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"87","algeria","1988","air force",NA,"aircraft",NA,"TPT",NA,"Il-18","1"
"88","algeria","1988","air force",NA,"aircraft",NA,"TPT",NA,"Il-18","1"
"89","algeria","1988","air force",NA,"artillery","GUNS","TOWED",NA,"SA-2 Guideline","30"
"90","algeria","1988","air force",NA,"surface-to-surface missile launchers","missiles","SAM",NA,"SA-3 Goa","21"
"91","algeria","1988","paramilitary","gendarmerie","armoured fighting vehicles",NA,"RECCE",NA,"AML-60/100 M-3 Panhard APC (W)","44"
"92","algeria","1988","air force",NA,"artillery","GUNS","TOWED",NA,"SA-2 Guideline","30"
"93","algeria","1988","air force",NA,"surface-to-surface missile launchers","missiles","SAM",NA,"SA-3 Goa","21"
"94","algeria","1988","paramilitary","gendarmerie","armoured fighting vehicles",NA,"RECCE",NA,"AML-60/100 M-3 Panhard APC (W)","44"
"95","bolivia","1988","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"96","bolivia","1988","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"97","Somalia","1988","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"98","Somalia","1988","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"99","oman","1991","royal household","royal flight","aircraft",NA,"TPT","PAX","Gulfstream IV","2"
"100","thailand","1989","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","4"
"101","thailand","1989","navy","naval aviation","helicopters",NA,"UTL",NA,"Bell 212","4"
"102","algeria","1989","air force",NA,"helicopters",NA,"TPT","medium","Mi-6","4"
"103","algeria","1989","air force",NA,"helicopters",NA,"TPT","medium","Mi-6","4"
"104","bolivia","1989","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"105","bolivia","1989","air force",NA,"aircraft",NA,"TPT",NA,"Cessna 402","1"
"106","canada","1989","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","6"
"107","canada","1989","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","6"
"108","mexico","1989","air force",NA,"helicopters",NA,"COIN",NA,"Bell 205","5"
"109","mexico","1989","air force",NA,"helicopters",NA,"COIN",NA,"Bell 205","5"
"110","seychelles","1989","paramilitary","coast guard","patrol and coastal combatants",NA,"PFI",NA,NA,"2"
"111","seychelles","1989","people's defence force","coast guard","patrol and coastal combatants","inshore","PCI",NA,NA,"1"
"112","Somalia","1989","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"113","Somalia","1989","air force",NA,"helicopters",NA,"UTL",NA,"Bell 212","2"
"114","canada","1990","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","4"
"115","canada","1990","royal canadian air force",NA,"aircraft",NA,"TPT",NA,"CC/E-144","4"
"116","india","1990","navy","naval aviation","aircraft",NA,"TRG",NA,"T-60","2"
"117","india","1990","navy","naval aviation","aircraft",NA,"TRG",NA,"T-60","2"
"118","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","AS-61","5"
"119","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","Mi-4","20"
"120","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","AS-61","5"
"121","iraq","1990","army",NA,"helicopters",NA,"TPT","medium","Mi-4","20"
"122","peru","1990","air force",NA,"aircraft",NA,"FTR",NA,"-DP","2"
"123","peru","1990","air force",NA,"aircraft",NA,"FTR",NA,"-DP","2"
"124","philippines","1991","army",NA,"artillery",NA,"TOWED","105mm","M101/M102/M-26/M-56","230"
"125","philippines","1991","army",NA,"artillery",NA,"TOWED","155mm","M114/M-68","12"
"126","philippines","1991","army",NA,"artillery","MOR",NA,"107mm","M-30","40"
"127","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Rizal","2"
"128","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Miguel Malvar","5"
"129","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCO",NA,"Magat Salamat","1"
"130","philippines","1991","navy",NA,"patrol and coastal combatants",NA,"PCC",NA,"Kagitingan","4"
"131","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"BN-2A Defender","5"
"132","philippines","1991","navy","naval aviation","aircraft",NA,"MR/SAR",NA,"Islander","1"
"133","philippines","1991","navy","naval aviation","helicopters",NA,"SAR",NA,"Bo-105","12"
"134","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-5","30"
"135","philippines","1991","navy","marines","armoured fighting vehicles",NA,"AAV",NA,"LVTP-7","55"
"136","philippines","1991","navy","marines","artillery",NA,"TOWED","105mm","M101","150"
"137","philippines","1991","air force",NA,"aircraft",NA,"FTR",NA,"F-5A/B","9"
"138","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"T-28D","8"
"139","philippines","1991","air force",NA,"helicopters",NA,"MRH",NA,"Bell UH-1H/M","55"
"140","philippines","1991","air force",NA,"helicopters",NA,"TPT",NA,"AUH-76","16"
"141","philippines","1991","air force",NA,"aircraft",NA,"MR",NA,"F-27M","2"
"142","philippines","1991","air force",NA,"aircraft",NA,"ATK/RECCE",NA,"RT-33A","3"
"143","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"UH-16","4"
"144","philippines","1991","air force",NA,"aircraft",NA,"SAR",NA,"Bo-105C","10"
